seed,method,p_at_10,r_at_10,average_precision,reciprocal_rank
42,Static fragility,0.6,0.5,0.5642676402544824,0.5
42,Frequency only,0.6,0.5,0.4205606424835013,0.5
42,Unweighted process-aware,0.6,0.5,0.6088398597589774,0.5
42,Full CAD,1.0,0.8333333333333334,0.9537037037037037,1.0
43,Static fragility,0.7,0.5833333333333334,0.6259769488893897,0.5
43,Frequency only,0.6,0.5,0.4783979440708029,0.5
43,Unweighted process-aware,0.7,0.5833333333333334,0.4653027059755648,0.5
43,Full CAD,1.0,0.8333333333333334,0.9811507936507936,1.0
44,Static fragility,0.5,0.4166666666666667,0.610928633200305,0.5
44,Frequency only,0.3,0.25,0.258513806752455,0.5
44,Unweighted process-aware,0.4,0.3333333333333333,0.33769924218789044,0.5
44,Full CAD,0.9,0.75,0.812435400516796,1.0
45,Static fragility,0.5,0.4166666666666667,0.46618011618011607,0.3333333333333333
45,Frequency only,0.3,0.25,0.2689304734191217,0.5
45,Unweighted process-aware,0.6,0.5,0.45954873772159655,0.5
45,Full CAD,0.9,0.75,0.7664504477004477,0.5
46,Static fragility,0.7,0.5833333333333334,0.5818087776421109,0.5
46,Frequency only,0.3,0.25,0.2633749178635661,0.3333333333333333
46,Unweighted process-aware,0.5,0.4166666666666667,0.5608895922122666,0.5
46,Full CAD,1.0,0.8333333333333334,0.876388888888889,1.0
47,Static fragility,0.5,0.4166666666666667,0.4733827537749107,0.5
47,Frequency only,0.5,0.4166666666666667,0.3708811553040141,0.5
47,Unweighted process-aware,0.6,0.5,0.5523869608998919,0.5
47,Full CAD,0.9,0.75,0.9579004329004329,1.0
48,Static fragility,0.7,0.5833333333333334,0.6486482199717493,0.5
48,Frequency only,0.3,0.25,0.4793606777126047,1.0
48,Unweighted process-aware,0.5,0.4166666666666667,0.5728897461234418,0.5
48,Full CAD,1.0,0.8333333333333334,0.876388888888889,1.0
49,Static fragility,0.5,0.4166666666666667,0.5462511639594972,0.5
49,Frequency only,0.5,0.4166666666666667,0.46132832124241663,0.5
